Tamiang Headband,Accessory,"The Tamiang headband is an iconic accessory worn during Acehnese traditional dances. Crafted with colorful beads, it is designed to be worn on the forehead, adding an exotic flair to ceremonial attire. It’s a unique accessory representing Aceh’s rich cultural heritage.","100,000",https://indonesiakaya.com/wp-content/uploads/2020/10/4__IMG_9543_Udeng_berbentuk_asimetris_bilateral_sisi_kanan_lebih_tinggi_dari_sisi_kirinya_2.jpg
Noken Bag,Handicraft,The Noken bag from Papua is woven from tree fibers and is traditionally used to carry daily necessities. This bag symbolizes life and social bonds within the Papuan community. It is usually worn hanging from the head and represents sustainable living.,"100,000",https://baktinews.bakti.or.id/sites/default/files/images/noken.jpg
Celuk Silver Earrings,Jewelry,Celuk village in Bali is famous for its high-quality silver jewelry. These earrings are hand-crafted with intricate patterns that reflect Balinese art and culture. Many visitors seek these as authentic pieces of Balinese heritage to wear or gift.,"300,000",https://shopsunakajewelryid.com/cdn/shop/files/er1TS_1024x1024.jpg?v=1712908096
Ikat Sumba,Textile,"Ikat Sumba is a traditional fabric woven using a tie-dye technique. The process involves binding threads before dyeing, creating patterns that depict the island's culture. This fabric is often used in ceremonies and showcases the artistry of Sumbanese weavers.","600,000",https://cdn-1.timesmedia.co.id/images/2023/10/09/Tenun-ikat-Sumba-Timur.jpg
Keris,Traditional Weapon,"The Keris is a unique weapon with a wavy blade, symbolizing power and spirituality. Each blade is forged with distinctive patterns and is believed to possess spiritual significance. The Keris is highly respected and often used in Javanese ceremonies.","800,000",https://cdn0-production-images-kly.akamaized.net/FKwVKO1Z-tgNJwdW7H7r40b8OWo=/800x800/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3947281/original/088464400_1645938570-KERIS_3.jpg
Gamelan Instrument,Musical Instrument,"The Gamelan is a traditional Javanese orchestra instrument set, often played in cultural performances. It includes gongs, metallophones, and drums, creating a harmonious blend of sounds. Miniature gamelan sets are also available as souvenirs.","750,000",https://upload.wikimedia.org/wikipedia/commons/2/26/Traditional_indonesian_instruments02.jpg
Surabaya Kue Lumpur,Food,"Kue Lumpur from Surabaya is a soft, sweet cake made from potatoes and coconut milk. It has a rich flavor and smooth texture, often enjoyed as a snack or dessert. Kue Lumpur is a popular treat during festive occasions.","60,000",https://asset.kompas.com/crops/n1O-9I2QBdAHe89BGyMJpBW67cw=/0x305:1000x972/750x500/data/photo/2021/09/02/613028e074a86.jpeg
Javanese Lurik,Textile,"Lurik is a traditional Javanese fabric with simple striped patterns, symbolizing modesty and strength. It is usually woven from cotton and is known for its durability. Lurik fabric is commonly worn in ceremonies and reflects Javanese culture.","250,000",https://s1.bukalapak.com/img/13563105361/s-463-463/data.jpeg.webp
Sasando Harp,Musical Instrument,The Sasando harp from Rote Island is a unique instrument made from bamboo and palm leaves. Its soft and melodic sound is often played during cultural events. Sasando represents the island’s musical heritage and is an impressive piece for any music lover.,"1,000,000",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/105/MTA-133449945/no-brand_no-brand_full01.jpg
Kalimantan Mandau Sword,Traditional Weapon,"The Mandau is a traditional sword from the Dayak tribe in Kalimantan, known for its ornate design and symbolic significance. It is used in rituals and represents bravery and honor. The Mandau is often displayed as a cultural artifact.","900,000",https://media.karousell.com/media/photos/products/2023/4/6/pedang_mandau_kalimantan_1680756820_0d34a0d9_progressive.jpg
Balinese Handmade Wooden Janger Statue,Handicraft,"The Balinese Handmade Wooden Janger Statue is a beautifully crafted traditional sculpture featuring intricate details, symbolizing the elegance and cultural heritage of Bali’s Janger dance.","1,890,000",https://i.etsystatic.com/26109531/r/il/d44d48/4220545868/il_794xN.4220545868_okgo.jpg
Songket Bali,Traditional Wear,"Songket Bali is a traditional handwoven fabric made from silk or cotton threads, intricately designed with shimmering gold or silver patterns. Known for its vibrant colors and cultural significance, it is often worn during special ceremonies and symbolizes the rich heritage of Bali.","700,000",https://cdn.ruparupa.io/fit-in/400x400/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10443693_1.jpg
Kintamani Coffee,Beverage,"Kintamani Coffee is a specialty coffee from Bali's Kintamani region, known for its unique citrusy flavor profile, mild acidity, and smooth finish, grown in the highlands using traditional farming methods.","150,000",https://saripertiwi.com/wp-content/uploads/2019/08/arabika-kintamani-natural.jpg
Vase Pottery,Handicraft,"Vase pottery is handcrafted using traditional techniques passed down through generations. Each piece is unique, with designs that reflect the island’s natural beauty. Vase pottery is perfect for home decor and is highly sought after by tourists.","300,000",https://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/MVV/EEA/MIN-EEA-MVV-001_A_PZ.jpg
Balinese Shell Mirror,Handicraft,"The Balinese Shell Mirror is a handcrafted decorative piece framed with meticulously arranged natural seashells, bringing a touch of coastal elegance to any room. Its intricate design and shimmering textures make it a stunning focal point, reflecting the beauty of Bali’s ocean-inspired artistry.","300,000",https://i.pinimg.com/originals/74/45/1c/74451c7f2f11db50adb309a35d828bf0.jpg
Bali Herbal tea,Beverage,"Bali Herbal Tea is a soothing blend of locally sourced herbs and spices, such as lemongrass, ginger, and pandan leaves, traditionally used for their calming and health-boosting properties. Each cup offers a fragrant aroma and delicate taste, providing a refreshing experience that embodies the essence of Balinese wellness rituals.","150,000",https://balidirectstore.com/wp-content/uploads/2023/09/ubbud.png
Barong Tie-Dye T-Shirt,Textile,"The Barong Tie-Dye T-Shirt combines the iconic Barong motif with vibrant tie-dye patterns, creating a perfect blend of traditional and contemporary Balinese style. Made from soft, breathable fabric, it’s ideal for casual wear, adding a splash of color and cultural flair to any outfit.","35,000",https://images.tokopedia.net/img/cache/700/hDjmkQ/2023/3/29/b86902a6-dc15-430a-a0a0-f98fad9cd568.jpg
Pie Susu,Food,"Pie Susu is a popular Balinese pastry with a buttery, flaky crust and a creamy, sweet milk filling that melts in your mouth. Its delicate texture and rich taste make it a favorite treat for both locals and tourists, perfect as a delicious souvenir to bring home.","60,000",https://mymilk.com/uploads/2019/01/Resep%20Pie%20Susu%20Khas%20Bali%2C%20Camilan%20Lezat%20Dari%20Pulau%20Dewata.jpg
Batik Pekalongan,Textile,"Batik Pekalongan is a traditional Indonesian textile known for its vibrant colors and intricate patterns, often depicting floral and marine motifs. Handcrafted by skilled artisans, this Batik style reflects the rich cultural heritage and artistic influences of the coastal city of Pekalongan.","80,000",https://s2.bukalapak.com/img/7900858861/large/IMG_20170929_000847_scaled.jpg
Yogyakarta Blangkon,Accessory,"The blangkon is a traditional Javanese headgear worn by men, made from batik fabric. It is a symbol of respect and is commonly worn during ceremonies.","100,000",https://images.tokopedia.net/img/cache/700/attachment/2019/9/8/15679489233405/15679489233405_6cafb23c-3dff-444c-807f-4e207711d166.png
Rattan Bag,Handicraft,"Vase pottery is handcrafted using traditional techniques passed down through generations. Each piece is unique, with designs that reflect the island’s natural beauty. Vase pottery is perfect for home decor.","200,000",https://img.ws.mms.shopee.ph/54aa8d590aa1888cf9c9acc7b0dc899d
Pempek,Food,"Pempek is a traditional fried fish snack from Palembang, South Sumatra, made from a mixture of ground fish and tapioca flour, then deep-fried to a golden brown. It is typically served with cuko, a tangy and spicy vinegar sauce, making it a delicious combination of savory and sour flavors.","60,000",https://asset.kompas.com/crops/LPTbmb14tDCmSay2EAvNihccDv0=/0x47:909x653/750x500/data/photo/2020/11/20/5fb76c4aa04bc.jpg
Palembang Keris,Traditional Weapon,The Palembang Keris is a type of kris sword with distinctive wave patterns on its blade. It holds spiritual significance and is considered a symbol of power. The keris is an integral part of South Sumatra's cultural heritage.,"900,000",https://pameranvirtual.ranggawarsitamuseum.id/storage/image/d505542706075ca9daea7146604dc818.jpg
Tenun Sambas,Textile,"Sambas weaving from West Kalimantan features beautiful geometric patterns. Made with natural dyes, each piece reflects the rich Dayak culture. This fabric is often worn during ceremonies and special events.","1,500,000",https://images.tokopedia.net/img/cache/700/VqbcmM/2023/2/3/fb165113-bfc9-41ee-8d16-5560a7b3b209.jpg
Batik Mega Mendung,Textile,"Mega Mendung is a famous batik pattern from Cirebon, depicting cloud motifs in bold colors. It symbolizes tranquility and has become an iconic design in Indonesian batik art. Mega Mendung is highly sought after by collectors and fashion enthusiasts.","250,000",https://images.tokopedia.net/img/cache/700/VqbcmM/2020/6/27/0979a1e0-f68d-4765-97d7-cc0de9751679.jpg
Bamboo Flute,Musical Instrument,"The bamboo flute is a traditional instrument used in Sundanese music. Known for its soothing sound, it is played during various ceremonies and performances. The flute is handcrafted and often decorated with traditional patterns.","100,000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPOu3nXLAcjUeUYPs5T_ZR8Z_ye9VC_2CGPA&s
Timor Weaving,Textile,"Timor weaving showcases intricate designs and bright colors, often depicting natural elements. It is created using traditional techniques and natural dyes, representing the island's cultural heritage. Timor fabrics are popular for clothing and decor.","800,000",https://i.pinimg.com/originals/44/41/eb/4441eb284f267d8075db35679717ec22.jpg
Batik Kawung,Textile,Batik Kawung features geometric patterns inspired by the fruit of the sugar palm. This ancient design is popular in Central Java and is associated with nobility and wisdom. The intricate motifs make it a prized piece in any batik collection.,"150,000",https://dynamic.zacdn.com/fm5aUaV9REieYcJO4No7_VvqEPY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/arjuna-weda-2502-9973692-1.jpg
Bakpia ,Food,"Bakpia Bali is a sweet pastry filled with various local flavors such as mung bean, chocolate, or cheese, wrapped in a soft, flaky crust. This Balinese delicacy has a tender texture and a rich taste.","50,000",https://kelilingjogja.id/wp-content/uploads/2022/01/Bakpia-Jogja-min.png
Batik Bali,Textile,"Balinese batik often features floral and animal motifs, showcasing the island’s natural beauty. This batik is made using traditional methods, with each piece uniquely hand-drawn or stamped. Balinese batik is perfect for clothing and home decor.","250,000",https://dynamic.zacdn.com/eWx2QGqCADAsTy44E2Dyy1QVhgA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/batik-mayung-1680-6474104-2.jpg
Songket Minangkabau,Textile,"Minangkabau songket is a luxurious handwoven fabric from West Sumatra, adorned with gold threads. It symbolizes wealth and is worn during important ceremonies. Each piece is crafted with intricate designs that tell stories of Minangkabau culture.","800,000",https://upload.wikimedia.org/wikipedia/commons/1/10/Tenunan_songket_khas_Minangkabau.jpg
Noken Papua,Handicraft,Noken bags are woven from tree bark fibers by the indigenous people of Papua. These bags are used to carry various items and are worn hanging from the head. Noken bags represent sustainable living and social bonds within Papuan communities.,"120,000",https://baktinews.bakti.or.id/sites/default/files/images/noken.jpg
Lombok Beaded Jewelry,Jewelry,Beaded jewelry from Lombok is crafted using colorful beads and shells. These pieces are lightweight and reflect the island's coastal charm. Lombok beaded jewelry is a popular souvenir for those looking for unique accessories.,"200,000",https://i.etsystatic.com/21325748/r/il/293060/2035897340/il_1080xN.2035897340_57b1.jpg
Lurik Solo,Textile,"Lurik is a traditional fabric from Solo, Central Java, characterized by its simple striped patterns. It is woven with cotton and is known for its durability. Lurik is often worn in traditional ceremonies and represents modesty and simplicity.","250,000",https://images.tokopedia.net/img/cache/700/product-1/2015/9/15/216919/216919_b2c7de7c-5b60-11e5-bb02-195e87772fba.jpg
Gendang Melayu,Musical Instrument,The Gendang is a traditional Malay drum used in various music and dance performances. It produces a rhythmic sound that complements other instruments. The drum is handcrafted and reflects the musical heritage of Malay culture.,"300,000",https://parto.id/asset/foto_produk/data26.jpg
Balinese Barong Mask,Handicraft,"The Barong mask represents a mythical creature in Balinese culture. It is used in traditional dances to symbolize good over evil. Each mask is intricately carved and painted, making it a popular decorative piece.","500,000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSd-jXyGDOFoYg7fRqI35wrgBukzRPv7YJy6g&s
Aceh Kain Tenun,Textile,"Acehnese woven fabric, or tenun, is known for its bright colors and intricate patterns. Each piece reflects the region's rich history and cultural identity. Tenun is often worn during ceremonies and is cherished for its beauty.","600,000",https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//93/MTA-35272272/brd-44261_kain-songket-tenun-aceh-motif-pintu-aceh_full01.jpg
Borneo Beaded Bracelet,Jewelry,Beaded bracelets from Borneo are made using colorful beads that represent the island's cultural diversity. They are lightweight and perfect for adding a pop of color to any outfit. These bracelets are popular souvenirs among tourists.,"150,000",https://i.etsystatic.com/8314420/r/il/137b89/1029277072/il_570xN.1029277072_g3qd.jpg
Javanese Shadow Puppet,Handicraft,"Javanese shadow puppets, or wayang kulit, are used in traditional performances to tell epic tales. These puppets are intricately carved from buffalo hide and painted with vibrant colors. They are cherished as both decorative pieces and cultural artifacts.","400,000",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Wayang_sejarah.jpg/257px-Wayang_sejarah.jpg
Bali Salak Fruit Chips,Food,"Salak, also known as snake fruit, is a tropical fruit from Bali. The fruit chips are crunchy and sweet, making them a unique snack. They are popular among tourists who want to try something different from Bali’s local produce.","70,000",https://images.squarespace-cdn.com/content/v1/54c60a40e4b05e6378d000ae/1549011843557-I800E670P7C7KUINIZ98/PMA-Salacca-gallery-07.jpg
Sumatra Gold Bracelet,Jewelry,"Sumatra is known for its gold jewelry, often adorned with traditional motifs. These bracelets are crafted with precision, making them highly valued. Sumatra gold jewelry is commonly worn at weddings and other ceremonies.","2,000,000",https://kolektifandco.com/cdn/shop/files/WhatsAppImage2024-08-29at1.38.57PM_1.jpg?v=1724904311
Batik Madura,Textile,"Madura batik is famous for its bold colors and striking patterns, often inspired by nature and folklore. Each piece is hand-dyed, reflecting the island's artistic heritage. Madura batik is popular for its vibrant and eye-catching designs.","350,000","https://static.wixstatic.com/media/077506_8b642e8295114e8d9632015569f05a06~mv2.jpg/v1/fill/w_1000,h_563,al_c,q_85,usm_0.66_1.00_0.01/077506_8b642e8295114e8d9632015569f05a06~mv2.jpg"
Wooden Puzzle,Handicraft,"Wooden puzzles are popular souvenirs from Indonesia, known for their intricate designs and craftsmanship. They make great gifts for children and adults alike. Each puzzle is made from high-quality wood, ensuring durability and entertainment.","80,000",https://m.media-amazon.com/images/I/71rJwGG3jDL.jpg
Kalimantan Beaded Necklace,Jewelry,Beaded necklaces from Kalimantan are crafted using colorful beads and shells. They are lightweight and reflect the island's cultural heritage. These necklaces are popular souvenirs for tourists seeking unique jewelry.,"150,000",https://down-my.img.susercontent.com/file/id-11134207-7r98p-lv33jmxhwdbsba
Balinese Coconut Bowl,Handicraft,"Coconut bowls are made from natural coconut shells and are a sustainable option for dining ware. Each bowl is handcrafted and polished, making it perfect for serving snacks or as a decorative piece. These bowls are popular souvenirs from Bali.","50,000",https://jenggala.com/wp-content/uploads/2021/02/O22SS0189.jpg
Wayang Golek,Handicraft,"Wayang Golek is a traditional wooden puppet used in Sundanese puppet shows. Each puppet is hand-carved and painted, often depicting characters from local folklore. They are popular collectibles and are cherished as cultural artifacts.","450,000",https://upload.wikimedia.org/wikipedia/commons/9/99/Wayang_golek_SF_Asian_Art_Museum.JPG
Sulawesi Coffee Beans,Beverage,"Sulawesi coffee is known for its smooth, balanced flavor with hints of cocoa and spices. Grown at high altitudes, the beans are carefully processed to maintain their quality. Sulawesi coffee is a favorite among coffee enthusiasts.","200,000",https://specialtycoffee.id/wp-content/uploads/elementor/thumbs/coffee-cherry-qpw1cugisqdzu5dim4kdx017qo19irnwkv9ymuufi8.jpg
Lombok Seashell Necklace,Jewelry,"Seashell necklaces from Lombok are crafted using locally sourced shells, reflecting the island's coastal charm. These necklaces are lightweight and perfect for casual wear. Lombok seashell jewelry is a popular souvenir for tourists.","100,000",https://down-id.img.susercontent.com/file/id-11134207-7r98r-lxc0bqopg7ce85
Indonesian Dodol Candy,Food,"Dodol is a traditional chewy candy made from glutinous rice and coconut milk. It comes in various flavors like durian, pandan, and chocolate. This candy is popular during festive seasons and is a favorite among locals and tourists alike.","60,000",https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/B4295948-8075-4694-B32B-7B5CE017393C/Derivates/d273de33-702a-4fdd-843e-b35ced8b9af3.jpg
Timor Ikat Scarf,Textile,"Timor Ikat scarves are made using a tie-dye technique, resulting in vibrant patterns that reflect the island's culture. These scarves are lightweight and perfect for any occasion. They are popular souvenirs for those who appreciate traditional crafts.","200,000",https://images.tokopedia.net/img/cache/700/VqbcmM/2024/3/19/ae3fd7a2-1d61-438d-9fb2-463f4bec8853.jpg
Bali Dreamcatcher,Handicraft,Balinese dreamcatchers are crafted using colorful threads and natural materials like feathers and shells. They are believed to ward off bad dreams and bring good luck. These dreamcatchers are popular souvenirs for tourists seeking unique decor.,"70,000",https://id-test-11.slatic.net/p/b33475cb85cb5f9cd509b5c0c666b4c4.jpg
Toraja Weaving,Textile,"Toraja weaving is known for its geometric patterns and vibrant colors. Made using traditional techniques, each piece reflects the rich cultural heritage of the Toraja people. These fabrics are often used for clothing and decor.","500,000",https://i.pinimg.com/474x/b8/1a/eb/b81aebbb6dcf188cd8259f9d87da940d.jpg
Ambon Spice Box,Handicraft,"Ambon spice boxes are handcrafted from wood and adorned with carvings. They are designed to store various spices, reflecting the rich spice heritage of the Maluku Islands. These boxes are popular as functional and decorative pieces.","150,000",https://cdn.idntimes.com/content-images/post/20190910/6-a121a933f07b6a440131233018af1522.jpg
Toraja Buffalo Horn,Handicraft,"Crafted from buffalo horns, these decorative items are intricately carved by Toraja artisans. They often feature traditional motifs and are used in rituals. They symbolize the strength and spirit of the Toraja people.","600,000",https://image.invaluable.com/housePhotos/artemisgallery/99/768699/H4404-L368504109.jpg
Sumba Shield,Handicraft,"Sumba shields are wooden shields traditionally used by warriors. They are adorned with carvings and natural dyes, reflecting the island's warrior culture. Today, they are popular as decorative pieces representing bravery and tradition.","900,000",https://www.proantic.com/galerie/dionisio/img/786974-main-60be49c4eefa7.jpg
Batik Trusmi,Textile,Batik Trusmi from Cirebon is known for its delicate patterns and vibrant colors. It often features coastal motifs inspired by Cirebon's history as a port city. The fabric is highly valued and is used in both clothing and decor.,"450,000",https://batiksalma.com/wp-content/uploads/2023/01/Batik-Salma-Kain-Batik-Tulis-Mega-Mendung-Full-Navy-300x300.jpg
Dayak Blowgun,Traditional Weapon,"The Dayak blowgun, or sumpit, is a traditional weapon used for hunting. Made from bamboo and often decorated with feathers, it reflects the unique culture of the Dayak people in Kalimantan. It is popular among collectors of traditional weapons.","300,000",https://mandarinmansion.com/images/indonesia/dayak-dart-quiver/dayak-quiver4.jpg
Minahasa Bead Necklace,Jewelry,Minahasa bead necklaces are crafted with vibrant beads that represent the colors of the region. These necklaces are lightweight and are often worn during traditional ceremonies. They make colorful and unique accessories.,"120,000",https://kuka.co.id/asset/product_photo/051232fcf489fe39198641aa1e91339c.jpeg
Sulawesi Toraja Textile,Textile,Toraja textiles are known for their intricate designs and natural colors. Each piece is handwoven and reflects the spiritual beliefs of the Toraja people. They are popular for clothing and home decor.,"500,000",https://i.pinimg.com/736x/4f/1e/a4/4f1ea495b608aac9c1aeb17938c9e0f0.jpg
Javanese Kris,Traditional Weapon,The Javanese Kris is a wavy-bladed dagger that holds spiritual significance. Each blade is forged with unique patterns and is considered a sacred object. Kris is often passed down as a family heirloom.,"800,000",https://upload.wikimedia.org/wikipedia/commons/e/e3/Semar_Kris_%28alt%29_3.jpg
Aceh Coffee,Beverage,"Aceh coffee is known for its rich, full-bodied flavor with hints of chocolate. It is grown in the highlands of Sumatra and is popular among coffee enthusiasts. The beans are carefully roasted to bring out their unique flavors.","250,000",https://www.blibli.com/friends-backend/wp-content/uploads/2023/02/B200137-cover-Apa-Itu-Kopi-Gayo-scaled.jpg
Bajawa Coffee,Beverage,"Bajawa coffee from Flores Island has a smooth, earthy flavor with a hint of spice. It is grown in volcanic soil, giving it a unique taste. Bajawa coffee is a favorite among those who enjoy complex flavors.","220,000",https://ik.trn.asia/uploads/2024/03/1709715700568.jpeg?tr=w-1080
Papuan Koteka,Traditional Wear,"The koteka is a traditional Papuan garment made from dried gourd. It is worn by men in certain tribes as a symbol of cultural identity. Though less common today, it remains a significant part of Papuan heritage.","300,000",https://img.okezone.com/content/2023/11/02/406/2913494/4-fakta-menarik-koteka-pakaian-tradisional-khas-papua-yang-punya-makna-filosofi-mendalam-EuvDZrhoo4.JPG
Tenun Garut,Textile,"Tenun Garut is a handwoven fabric from West Java, known for its bright colors and floral patterns. It is commonly used for traditional clothing and is a favorite among fashion enthusiasts.","350,000",https://down-id.img.susercontent.com/file/fb30ecd9339f3916fc67f895da71e764
Bangka Tin Jewelry,Jewelry,"Bangka Island is known for its tin mining, and local artisans craft jewelry from this metal. Tin jewelry from Bangka is lightweight and often features traditional designs, making it a unique accessory.","200,000",https://ae01.alicdn.com/kf/Seff22b7c607f47c19dff2bb539ef51c4Y/316L-Kalung-Liontin-Kertas-Timah-Tidak-Beraturan-Geometris-Baja-Tahan-Karat-untuk-Hadiah-Perhiasan-Pesta-Rantai.jpg
Lombok Pearl Necklace,Jewelry,"Lombok pearls are renowned for their quality and luster. The pearls are carefully harvested and crafted into elegant necklaces, perfect for formal occasions. Lombok pearl jewelry is highly sought after by collectors.","1,200,000",https://images.tokopedia.net/img/cache/700/VqbcmM/2022/5/7/0519d15d-ac4c-4c2f-8f35-f384da68f991.jpg
Sumatra Brass Gong,Musical Instrument,Brass gongs from Sumatra are often used in traditional music and ceremonies. They produce a resonant sound and are commonly seen in cultural performances. These gongs are also popular as decorative items.,"1,000,000",https://parto.id/asset/foto_produk/batch-upload_e5a43f73-d308-4440-a224-403fa85df97b.jpg
Borneo Rattan Basket,Handicraft,"Rattan baskets from Borneo are handcrafted using traditional techniques. They are durable and versatile, perfect for home decor or storage. These baskets reflect the sustainable lifestyle of the local communities.","150,000",https://mahehomeware.com/wp-content/uploads/2022/11/mahehomeware-borneo-basket-motive.jpg
Mentawai Arrows,Traditional Weapon,"The Mentawai people craft arrows from bamboo and feathers, used for hunting and ceremonial purposes. Each arrow is made with precision and reflects the unique culture of the Mentawai Islands.","200,000",https://bushguide101.com/wp-content/uploads/2024/01/Mantawai-arrows-28.jpg.webp
Sasak Songket,Textile,Sasak Songket from Lombok features elaborate designs woven with gold and silver threads. This fabric is traditionally worn during ceremonies and represents the island's rich cultural heritage.,"800,000",https://down-id.img.susercontent.com/file/41c5dde73588fb785a25374b8e7f82d4
Ambon Clove Soap,Handicraft,"Made from natural cloves, Ambon clove soap has a rich aroma and is believed to have medicinal properties. It is a popular souvenir from the Spice Islands, known for its skin benefits and unique fragrance.","80,000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRqaFR6A5mLs-TQulN8ILl75sIHsQcOO3tNSdYvJ9jyM6AxXF0m5N2XoRqm4cLHhcBnBA&usqp=CAU
Sumbawa Honey,Food,Sumbawa honey is harvested from wild bees and is known for its natural sweetness. It is often used as a remedy for various ailments. This honey is popular among locals and tourists alike for its health benefits.,"180,000",https://www.eastjavaco.com/cdn/shop/files/Sulawesi-Raw-Forest-Honey-250g-1A_2048x2048.jpg?v=1704342638
Tana Toraja Wood Plaque,Handicraft,"These wooden plaques from Tana Toraja feature intricate carvings that depict traditional symbols. They are often used as wall decor, showcasing the craftsmanship of Toraja artisans.","350,000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4AUtLlRiZC4F1Ki2eIlqD080z08aPBwXsOiqU359FKyMNtohUV4EBydse8Dkrmwc2bhE&usqp=CAU
Batik Pesisir,Textile,"Coastal batik, or Batik Pesisir, is known for its bright colors and maritime motifs. Originating from Java's northern coast, it reflects the influence of coastal culture and trade.","250,000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB86ZynwhpELVTdIZdZRg6CkjzIFo9bhVdyM5Tw4yWlb40eUOljaecQjqVhfJfBY0Fqn8&usqp=CAU
Madura Salt,Food,"Madura is famous for its high-quality sea salt, harvested using traditional methods. It is prized for its natural taste and purity, often used in gourmet cooking.","40,000",https://s0.bukalapak.com/img/03005248003/s-463-463/data.jpeg.webp
Kalimantan Dragonfly Brooch,Jewelry,"These brooches, crafted by Kalimantan artisans, depict dragonflies and are made using traditional beading techniques. They are lightweight and perfect for adding a touch of nature to any outfit.","75,000",https://m.media-amazon.com/images/I/61+LlihcR0S._AC_UY1000_.jpg
Dayak Feathered Headgear,Traditional Wear,"This headgear, adorned with feathers, is worn by the Dayak people during ceremonies. It symbolizes honor and bravery and is crafted with intricate details.","500,000",https://ttugloballanguageheadwear.org/wp-content/uploads/2020/12/Indonesia-Dayak.jpg
